pa.si,UNKNOWN
pb.si,REGISTERED
pc.si,REGISTERED
pd.si,REGISTERED
pe.si,REGISTERED
pf.si,REGISTERED
pg.si,REGISTERED
ph.si,LIKELY_FREE
pi.si,LIKELY_FREE
pj.si,REGISTERED
pk.si,LIKELY_FREE
pl.si,REGISTERED
pm.si,REGISTERED
pn.si,REGISTERED
po.si,LIKELY_FREE
pp.si,REGISTERED
pq.si,REGISTERED
pr.si,REGISTERED
ps.si,REGISTERED
pt.si,REGISTERED
pu.si,REGISTERED
pv.si,REGISTERED
pw.si,REGISTERED
px.si,REGISTERED
py.si,REGISTERED
pz.si,LIKELY_FREE
qa.si,REGISTERED
qb.si,REGISTERED
qc.si,REGISTERED
qd.si,REGISTERED
qe.si,REGISTERED
qf.si,REGISTERED
qg.si,REGISTERED
qh.si,REGISTERED
qi.si,REGISTERED
qj.si,REGISTERED
qk.si,REGISTERED
ql.si,REGISTERED
qm.si,REGISTERED
qn.si,REGISTERED
qo.si,REGISTERED
qp.si,REGISTERED
qq.si,REGISTERED
qr.si,REGISTERED
qs.si,REGISTERED
qt.si,REGISTERED
qu.si,REGISTERED
qv.si,REGISTERED
qw.si,REGISTERED
qx.si,UNKNOWN
qy.si,REGISTERED
qz.si,REGISTERED
ra.si,LIKELY_FREE
rb.si,REGISTERED
rc.si,LIKELY_FREE
rd.si,REGISTERED
re.si,REGISTERED
rf.si,LIKELY_FREE
rg.si,REGISTERED
rh.si,REGISTERED
ri.si,REGISTERED
rj.si,REGISTERED
rk.si,LIKELY_FREE
rl.si,REGISTERED
rm.si,REGISTERED
rn.si,REGISTERED
ro.si,REGISTERED
rp.si,LIKELY_FREE
rq.si,REGISTERED
rr.si,REGISTERED
rs.si,LIKELY_FREE
rt.si,LIKELY_FREE
ru.si,REGISTERED
rv.si,REGISTERED
rw.si,REGISTERED
rx.si,REGISTERED
ry.si,REGISTERED
rz.si,REGISTERED
sa.si,REGISTERED
sb.si,REGISTERED
sc.si,REGISTERED
sd.si,REGISTERED
se.si,REGISTERED
sf.si,REGISTERED
sg.si,REGISTERED
sh.si,REGISTERED
si.si,LIKELY_FREE
sj.si,REGISTERED
sk.si,REGISTERED
sl.si,LIKELY_FREE
sm.si,REGISTERED
sn.si,LIKELY_FREE
so.si,REGISTERED
sp.si,REGISTERED
sq.si,REGISTERED
sr.si,LIKELY_FREE
ss.si,REGISTERED
st.si,REGISTERED
su.si,REGISTERED
sv.si,REGISTERED
sw.si,REGISTERED
sx.si,REGISTERED
sy.si,REGISTERED
sz.si,REGISTERED
ta.si,REGISTERED
tb.si,REGISTERED
tc.si,REGISTERED
td.si,REGISTERED
te.si,REGISTERED
tf.si,REGISTERED
tg.si,REGISTERED
th.si,REGISTERED
ti.si,REGISTERED
tj.si,UNKNOWN
tk.si,REGISTERED
tl.si,REGISTERED
tm.si,REGISTERED
tn.si,REGISTERED
to.si,REGISTERED
tp.si,REGISTERED
tq.si,REGISTERED
tr.si,REGISTERED
ts.si,REGISTERED
tt.si,REGISTERED
tu.si,LIKELY_FREE
tv.si,REGISTERED
tw.si,REGISTERED
tx.si,REGISTERED
ty.si,REGISTERED
tz.si,REGISTERED
ua.si,REGISTERED
ub.si,REGISTERED
uc.si,REGISTERED
ud.si,REGISTERED
ue.si,REGISTERED
uf.si,REGISTERED
ug.si,REGISTERED
uh.si,REGISTERED
ui.si,REGISTERED
uj.si,LIKELY_FREE
uk.si,REGISTERED
ul.si,REGISTERED
um.si,REGISTERED
un.si,REGISTERED
uo.si,REGISTERED
up.si,REGISTERED
uq.si,REGISTERED
ur.si,REGISTERED
us.si,REGISTERED
ut.si,REGISTERED
uu.si,REGISTERED
uv.si,REGISTERED
uw.si,REGISTERED
ux.si,REGISTERED
uy.si,REGISTERED
uz.si,REGISTERED
va.si,REGISTERED
vb.si,REGISTERED
vc.si,REGISTERED
vd.si,REGISTERED
ve.si,LIKELY_FREE
vf.si,REGISTERED
vg.si,REGISTERED
vh.si,LIKELY_FREE
vi.si,REGISTERED
vj.si,REGISTERED
vk.si,REGISTERED
vl.si,REGISTERED
vm.si,REGISTERED
vn.si,REGISTERED
vo.si,REGISTERED
vp.si,REGISTERED
vq.si,REGISTERED
vr.si,REGISTERED
vs.si,REGISTERED
vt.si,REGISTERED
vu.si,REGISTERED
vv.si,UNKNOWN
vw.si,REGISTERED
vx.si,REGISTERED
vy.si,REGISTERED
vz.si,REGISTERED
wa.si,REGISTERED
wb.si,REGISTERED
wc.si,REGISTERED
wd.si,REGISTERED
we.si,REGISTERED
wf.si,REGISTERED
wg.si,REGISTERED
wh.si,REGISTERED
wi.si,REGISTERED
wj.si,REGISTERED
wk.si,REGISTERED
wl.si,REGISTERED
wm.si,LIKELY_FREE
wn.si,REGISTERED
wo.si,REGISTERED
wp.si,REGISTERED
wq.si,REGISTERED
wr.si,REGISTERED
ws.si,REGISTERED
wt.si,REGISTERED
wu.si,REGISTERED
wv.si,REGISTERED
ww.si,REGISTERED
wx.si,UNKNOWN
wy.si,REGISTERED
wz.si,LIKELY_FREE
xa.si,REGISTERED
xb.si,REGISTERED
xc.si,REGISTERED
xd.si,REGISTERED
xe.si,REGISTERED
xf.si,REGISTERED
xg.si,REGISTERED
xh.si,REGISTERED
xi.si,REGISTERED
xj.si,REGISTERED
xk.si,REGISTERED
xl.si,LIKELY_FREE
xm.si,REGISTERED
xn.si,REGISTERED
xo.si,REGISTERED
xp.si,REGISTERED
xq.si,REGISTERED
xr.si,REGISTERED
xs.si,REGISTERED
xt.si,REGISTERED
xu.si,REGISTERED
xv.si,REGISTERED
xw.si,REGISTERED
xx.si,REGISTERED
xy.si,REGISTERED
xz.si,LIKELY_FREE
